model,accuracy,precision,recall,roc_auc
Logistic Regression,0.7651200369344414,0.5532132923437272,0.7877840316864707,0.8537377314682768
Decision Tree,0.7045821791320406,0.4819019784172662,0.8936835522201376,0.8503436472337013
