traveller_segment,lead_time_bucket,customer_value_segment,bookings,cancellation_rate,avg_adr,avg_booking_value,avg_total_stay,avg_lead_time,avg_special_requests
Leisure traveller,Early planner,Standard value,16853,0.3647421824007595,94.43602025455408,296.3300753189343,3.4563579184714888,175.3493739986946,0.7233726932890286
Leisure traveller,Medium-window planner,Standard value,14512,0.3081587651598677,97.25607070355568,277.87422395603636,3.137748070562293,56.76006063947078,0.747726019845645
Leisure traveller,Last-minute booker,Standard value,9863,0.08263205921119335,99.93132511913211,181.86043897901249,1.9490013180573862,2.1215654466186757,0.6500050694514854
Leisure traveller,Short-window planner,Standard value,9836,0.25101667344448964,101.86493306222042,253.95177832452217,2.736478243188288,17.963196421309476,0.7979869865799105
Leisure traveller,Early planner,High value,6194,0.3727801097836616,120.6002788827898,634.442078592186,5.907814013561511,175.14191152728446,0.8222473361317404
Leisure traveller,Early planner,Premium value,4905,0.41100917431192663,159.88865728848117,1267.6731902446486,8.635270132517839,179.51681957186545,0.8519877675840979
Solo short-stay traveller,Last-minute booker,Standard value,3840,0.07395833333333333,76.14571782552083,109.63581157552083,1.4231770833333333,2.105729166666667,0.43385416666666665
Leisure traveller,Medium-window planner,High value,3732,0.3512861736334405,139.97663467309755,629.132430653805,4.986334405144695,58.265809217577704,0.8118971061093248
Business traveller,Last-minute booker,Standard value,2861,0.08423628102062217,64.9877163404404,108.28653843061866,1.6724921356169171,2.7273680531282767,0.305837119888151
Leisure traveller,Medium-window planner,Premium value,2237,0.38399642378185067,179.45203980777836,1221.499594680376,7.417970496200268,59.02771569065713,0.8140366562360304
Leisure traveller,Short-window planner,High value,2108,0.29411764705882354,149.0719374525617,625.8919726280835,4.673624288425048,18.676944971537,0.888045540796964
Solo short-stay traveller,Short-window planner,Standard value,1896,0.2141350210970464,95.29152426160339,171.09386075949368,1.8143459915611815,16.632383966244724,0.5585443037974683
Solo short-stay traveller,Medium-window planner,Standard value,1506,0.31806108897742363,86.91245683930943,177.85491367861886,2.0703851261620185,53.234395750332006,0.4601593625498008
Solo short-stay traveller,Early planner,Standard value,1429,0.34919524142757175,81.53574527641707,182.79733379986004,2.2330300909727083,191.55283414975509,0.35969209237228833
Business traveller,Short-window planner,Standard value,1185,0.15358649789029535,70.58910548523207,133.93692827004222,1.9949367088607595,15.89282700421941,0.2523206751054852
Leisure traveller,Short-window planner,Premium value,1112,0.39928057553956836,189.2111660521584,1233.7490279676265,7.400179856115108,18.722122302158272,0.8273381294964028
Leisure traveller,Last-minute booker,High value,895,0.10837988826815642,151.9974063687151,626.1213378770949,4.567597765363129,3.4547486033519554,0.9139664804469274
Business traveller,Medium-window planner,Standard value,562,0.20284697508896798,76.19053380782918,185.1723487544484,2.683274021352313,50.795373665480426,0.17615658362989323
Business traveller,Early planner,Standard value,482,0.13278008298755187,76.65458506224067,246.84860995850622,3.396265560165975,221.8713692946058,0.08506224066390042
Leisure traveller,Last-minute booker,Premium value,329,0.20364741641337386,177.75330319148947,1176.72430987842,7.583586626139818,3.5714285714285716,0.8389057750759878
Solo short-stay traveller,Short-window planner,High value,38,0.13157894736842105,186.68026315789476,546.2513157894737,2.9473684210526314,18.36842105263158,0.5
Business traveller,Medium-window planner,High value,37,0.43243243243243246,89.94054054054054,636.9837837837838,7.972972972972973,46.108108108108105,0.16216216216216217
Business traveller,Last-minute booker,High value,33,0.2727272727272727,118.07939393939394,620.71,5.636363636363637,3.0,0.3333333333333333
Business traveller,Early planner,High value,31,0.1935483870967742,98.27741935483871,637.1174193548387,6.774193548387097,213.29032258064515,0.45161290322580644
Business traveller,Short-window planner,High value,31,0.1935483870967742,91.5660145161291,617.0094483870969,9.225806451612904,20.516129032258064,0.3548387096774194
Business traveller,Short-window planner,Premium value,28,0.25,108.94035714285714,1346.2910714285715,13.464285714285714,14.392857142857142,0.25
Business traveller,Medium-window planner,Premium value,25,0.68,125.0696,1109.1168,9.28,62.84,0.16
Solo short-stay traveller,Medium-window planner,High value,23,0.34782608695652173,200.65521739130435,579.1830434782609,2.9130434782608696,44.69565217391305,0.5217391304347826
Business traveller,Last-minute booker,Premium value,18,0.2222222222222222,107.815,1571.0572222222222,14.555555555555555,3.0,0.2222222222222222
Solo short-stay traveller,Last-minute booker,High value,16,0.1875,188.004375,564.013125,3.0,2.875,0.5
Business traveller,Early planner,Premium value,13,0.46153846153846156,105.4,1098.076923076923,12.307692307692308,202.6153846153846,0.15384615384615385
Solo short-stay traveller,Early planner,High value,8,0.5,182.1775,546.5325,3.0,174.25,1.0
